year,month,day,hour,PM2.5,temperature,pressure,rain,wind_direction,wind_speed
2013,3,2,16,37,3.5,1023.6,0,WSW,2.5
2013,3,2,17,44,2.2,1023.4,0,SSE,0.4
2013,3,2,18,54,1.2,1023.2,0,W,0.9
2013,3,2,19,61,1.5,1022.9,0,NE,1.2
2013,3,2,20,67,1.2,1022.9,0,NNE,1.2
2013,3,2,21,74,0.6,1022.6,0,NE,1.3
2013,3,2,22,81,-0.6,1022.3,0,NNE,1.4
2013,3,2,23,93,-0.8,1021.1,0,N,1.3
2013,3,3,0,112,-1.4,1020.4,0,NNE,1.2
2013,3,3,1,109,-2,1019.4,0,NE,1.2
2013,3,3,2,110,-2.8,1018.3,0,NE,1.4
2013,3,3,3,105,-2.6,1017.2,0,NE,1.2
2013,3,3,4,106,-4.3,1016.9,0,NNE,0.9
2013,3,3,5,101,-5.6,1016.3,0,N,0.8
2013,3,3,6,91,-5.8,1016.2,0,NNE,0.8
2013,3,3,7,79,-3.1,1016.5,0,NE,1.5
2013,3,3,8,77,0.7,1016.2,0,NNE,2.3
2013,3,3,9,83,3.5,1015.8,0,NNE,0.4
2013,3,3,10,94,6.5,1014.9,0,N,1.3
2013,3,3,11,96,11.4,1013.8,0,ESE,0.9
2013,3,3,12,91,13.8,1012.5,0,W,1.1
2013,3,3,13,98,16,1011.5,0,W,5.9
2013,3,3,14,72,16.7,1010.8,0,WNW,4.3
2013,3,3,15,48,16.9,1010.5,0,WNW,2
2013,3,3,16,28,16.4,1010.6,0,NW,2.9
2013,3,3,17,26,13.1,1011.1,0,WSW,1.7
2013,3,3,18,24,8.7,1012.3,0,NW,1.6
2013,3,3,19,19,12.2,1013.4,0,NNW,2
2013,3,3,20,60,11.7,1013.5,0,N,0.9
2013,3,3,21,117,5.3,1013.6,0,N,0
2013,3,3,22,54,3.1,1014.1,0,NNE,1.8
2013,3,3,23,46,5.2,1014.8,0,NNW,1.7
2013,3,4,0,42,7.7,1015.7,0,N,2.6
2013,3,4,1,49,8.2,1016.7,0,N,2.8
2013,3,4,2,34,8.1,1016.7,0,N,4.3
2013,3,4,3,12,7.2,1016.9,0,N,2.8
2013,3,4,4,7,6,1018,0,NNW,1
2013,3,4,5,10,2.7,1018.6,0,SSE,0.5
2013,3,4,6,13,3.8,1018.9,0,N,2.3
2013,3,4,7,14,6.5,1019.7,0,N,2.3
2013,3,4,8,13,9,1020.7,0,NE,3.1
2013,3,4,9,15,10.6,1020.8,0,NNE,1.3
2013,3,4,10,16,11.9,1020.4,0,NE,2.1
2013,3,4,11,18,13.1,1020,0,NE,3
2013,3,4,12,13,14.2,1018.9,0,N,2.7
2013,3,4,13,3,15.3,1017.8,0,S,2
2013,3,4,14,3,15.2,1017,0,SW,0.7
2013,3,4,15,10,15.3,1016.3,0,SSW,2.4
2013,3,4,16,14,14.5,1015.7,0,S,2.6
2013,3,4,17,20,12.7,1015.9,0,SW,2.6
2013,3,4,18,25,11.6,1016.5,0,SSW,3.4
2013,3,4,19,31,10.9,1016.6,0,SW,3.5
2013,3,4,20,34,9.9,1016.9,0,SSW,3.1
2013,3,4,21,40,8.4,1016.9,0,SSW,2.1
2013,3,4,22,51,8.6,1016.3,0,SSW,2.4
2013,3,4,23,58,7.7,1015.7,0,SW,2.1
2013,3,5,0,71,4.7,1015.2,0,SW,1.6
2013,3,5,1,91,1.1,1014.7,0,SW,0
2013,3,5,2,100,-0.6,1014.4,0,S,0
2013,3,5,3,103,0.2,1014,0,NE,1.2
2013,3,5,4,115,1.8,1013.7,0,NE,1.5
2013,3,5,5,117,0.6,1013.9,0,N,0.8
2013,3,5,6,104,-0.2,1013.4,0,NE,1.3
2013,3,5,7,106,2.9,1013.4,0,NNE,1.3
2013,3,5,8,111,5.1,1013.4,0,NNE,1.2
2013,3,5,9,114,7.7,1012.8,0,NNE,1.5
2013,3,5,10,131,9.4,1012,0,NE,1.5
2013,3,5,11,138,10.6,1011.1,0,NNE,1.4
2013,3,5,12,142,11.9,1009.7,0,NNW,1.3
2013,3,5,13,163,12.6,1008.5,0,N,1
2013,3,5,14,168,13.5,1007.7,0,NNE,1.4
2013,3,5,15,165,13.8,1007.2,0,NE,1.2
2013,3,5,16,166,13.2,1007.1,0,NE,2
2013,3,5,17,190,12.1,1007.7,0,NNE,1.6
2013,3,5,18,203,9,1008.2,0,NE,1.4
2013,3,5,19,210,5.3,1008.5,0,ESE,0
2013,3,5,20,205,3.3,1008.7,0,N,0.2
2013,3,5,21,215,2.9,1009,0,NNE,1.2
2013,3,5,22,219,5.2,1008.9,0,NE,1.1
2013,3,5,23,226,4.9,1008.4,0,NE,1.4
2013,3,6,0,284,4.9,1008.5,0,NE,1.2
2013,3,6,1,272,4.8,1008.3,0,NE,1.5
2013,3,6,2,242,4.1,1007.8,0,NE,1.9
2013,3,6,3,212,4,1007.6,0,NE,1.9
2013,3,6,4,192,3.9,1007.3,0,NE,1.4
2013,3,6,5,188,4.1,1007.8,0,NE,1.6
2013,3,6,6,186,4.5,1008.4,0,NE,2
2013,3,6,7,188,5.7,1009.3,0,NE,1.7
2013,3,6,8,194,6.6,1009.3,0,NE,1.7
2013,3,6,9,184,7.5,1009.1,0,NE,1.7
2013,3,6,10,175,8.7,1008.6,0,NE,1.5
2013,3,6,11,179,10.1,1007.7,0,NE,1.4
2013,3,6,12,192,11.1,1006.9,0,ENE,0.4
2013,3,6,13,201,12.6,1005.8,0,WSW,1.5
2013,3,6,14,230,14.5,1005.5,0,SSE,1.6
2013,3,6,15,246,14.7,1005.5,0,SSW,2.5
2013,3,6,16,248,14.2,1005.5,0,S,1.4
2013,3,6,17,230,11.6,1005.9,0,SSW,1.1
2013,3,6,18,239,6.8,1006.8,0,WSW,0.9
2013,3,6,19,242,5.1,1007.6,0,WSW,1.2
2013,3,6,20,254,4.4,1008.2,0,SSW,1.1
2013,3,6,21,266,3.8,1007.7,0,WSW,1.9
2013,3,6,22,254,2.4,1007.3,0,WSW,1.2
2013,3,6,23,260,2.3,1007.2,0,NNE,1.3
2013,3,7,0,250,1.5,1007.1,0,NNE,0.8
2013,3,7,1,240,0.7,1007.1,0,SE,1.2
2013,3,7,2,238,1.5,1006.9,0,NNE,0.6
2013,3,7,3,243,0.3,1006.5,0,WNW,1.7
2013,3,7,4,246,-0.9,1006.4,0,N,0.5
2013,3,7,5,275,1.6,1006.7,0,NNE,1.7
2013,3,7,6,306,0.3,1006.6,0,SW,0.4
2013,3,7,7,320,2.4,1006.8,0,NNE,1.5
2013,3,7,8,292,8.3,1006.5,0,NNE,0.8
2013,3,7,9,251,10.1,1006.1,0,W,0.6
2013,3,7,10,228,12.7,1005.5,0,ENE,1.2
2013,3,7,11,217,16.5,1003.6,0,WSW,1.7
2013,3,7,12,255,17.1,1001.6,0,SSW,3.7
2013,3,7,13,258,17.7,1000.2,0,SW,3.1
2013,3,7,14,277,18.3,998.6,0,SSW,3.6
2013,3,7,15,282,18.6,997.6,0,SSW,3.3
2013,3,7,16,267,17.9,997.2,0,SW,1.9
2013,3,7,17,216,15.4,997.1,0,NNW,1.4
2013,3,7,18,201,14.4,997.4,0,N,1.9
2013,3,7,19,211,13.4,997.9,0,NNE,1.5
2013,3,7,20,227,11.8,997.7,0,NE,1.5
2013,3,7,21,282,9.2,997.9,0,NNE,1.4
2013,3,7,22,363,7.5,998.3,0,NE,1.3
2013,3,7,23,376,6.6,998.4,0,E,0.1
2013,3,8,0,344,4.1,998.2,0,ESE,0
2013,3,8,1,339,3.3,998.5,0,N,0.9
2013,3,8,2,339,2.5,998.2,0,SW,0.8
2013,3,8,3,324,1.8,997.9,0,N,0
2013,3,8,4,322,1.3,998.5,0,W,1
2013,3,8,5,315,1.4,999,0,SW,0.8
2013,3,8,6,310,1.1,999.7,0,WSW,0.8
2013,3,8,7,309,5.7,1000.4,0,NNE,1
2013,3,8,8,310,10.9,1000.8,0,SE,0.7
2013,3,8,9,326,16.9,1001.1,0,E,1
2013,3,8,10,326,19.1,1000.9,0,SSW,1.9
2013,3,8,11,219,20.5,1000.5,0,SSW,4.4
2013,3,8,12,104,21.7,999.4,0,S,3
2013,3,8,13,121,22.5,998.2,0,S,3.3
2013,3,8,14,184,17.4,998.3,0,ESE,4.5
2013,3,8,15,330,13.9,999.5,0,ESE,2.7
2013,3,8,16,172,11.9,1000.2,0,ESE,2.6
2013,3,8,17,114,10.3,999.9,0,SE,2.8
2013,3,8,18,82,9.3,1000.6,0,S,1.4
2013,3,8,19,84,8,1000.5,0,NE,0.8
2013,3,8,20,91,7.9,1000.4,0,SSW,1.4
2013,3,8,21,81,7.2,1000,0,ENE,1.6
2013,3,8,22,90,6.3,999,0,E,0.9
2013,3,8,23,79,5.7,997.7,0,SSW,1
2013,3,9,0,49,3.6,996.1,0,W,0.6
2013,3,9,1,89,2.1,994.9,0,W,1.1
2013,3,9,2,89,1.4,994.1,0,N,0
2013,3,9,3,98,1.1,993,0,NE,1.4
2013,3,9,4,97,1.8,992,0,E,0
2013,3,9,5,102,3.2,992,0,NE,1.3
2013,3,9,6,110,2.8,992.2,0,NE,1
2013,3,9,7,108,4.6,992.9,0,NE,1.8
2013,3,9,8,104,8.4,994.1,0,E,2.6
2013,3,9,9,113,16.3,995.9,0,NNW,3.3
2013,3,9,10,145,16.7,998.3,0,NNW,7.7
2013,3,9,11,69,14.3,1001.3,0,NNW,7.4
2013,3,9,12,78,12.4,1004.3,0,NW,7.9
2013,3,9,13,49,10.3,1006.5,0,NNW,7.2
2013,3,9,14,47,10.5,1008.1,0,NNW,6.7
2013,3,9,15,28,10.2,1009.4,0,N,3.9
2013,3,9,16,21,10.5,1010.8,0,N,4.8
2013,3,9,17,14,8.6,1013,0,NNE,4.8
2013,3,9,18,17,7.4,1015.9,0,NNE,4.8
2013,3,9,19,15,6.4,1018.1,0,N,3.5
2013,3,9,20,18,5.6,1019.7,0,N,4.5
2013,3,9,21,12,4.8,1020.3,0,N,3.3
2013,3,9,22,11,3.8,1021.2,0,NNE,1.2
2013,3,9,23,6,0.8,1021.3,0,SSE,0.6
2013,3,10,0,11,-0.5,1020.8,0,N,0
2013,3,10,1,11,-0.2,1021.1,0,W,1
2013,3,10,2,6,-2.1,1020.9,0,NNE,0.7
2013,3,10,3,10,-2,1021.1,0,NNW,1.2
2013,3,10,4,18,-1.3,1021.9,0,NNE,0
2013,3,10,5,21,-1.8,1022,0,W,1.7
2013,3,10,6,18,-2,1022.5,0,N,0
2013,3,10,7,24,3.5,1023.2,0,SSW,2.3
2013,3,10,8,31,5.3,1023.5,0,SW,4.6
2013,3,10,9,26,6.8,1023.1,0,SSW,5.2
2013,3,10,10,27,8.3,1022.4,0,SSW,4.6
2013,3,10,11,30,9.8,1021.9,0,S,2.7
2013,3,10,12,28,10.4,1021,0,SSW,0.4
2013,3,10,13,34,11.2,1020,0,S,2.8
2013,3,10,14,28,11.4,1019,0,SSW,4
2013,3,10,15,37,11.3,1018.7,0,SW,4.5
2013,3,10,16,36,10.4,1018.3,0,SW,4.1
2013,3,10,17,38,9.1,1018.2,0,SSW,4.4
2013,3,10,18,44,8.2,1018.5,0,SSW,2.6
2013,3,10,19,60,7.7,1018.8,0,SSW,2.3
2013,3,10,20,70,7.4,1018.8,0,S,3.5
2013,3,10,21,64,6.5,1018.9,0,SSW,2.7
2013,3,10,22,70,5.9,1018.5,0,SW,2.4
2013,3,10,23,81,3,1018.7,0,SSW,0.9
2013,3,11,0,90,0.3,1018.5,0,SW,1.4
2013,3,11,1,95,-0.7,1018,0,SW,0.7
2013,3,11,2,95,-1.7,1017.4,0,WNW,0.5
2013,3,11,3,96,-2.1,1017.2,0,N,0.6
2013,3,11,4,97,-1.6,1016.9,0,NNE,1.1
2013,3,11,5,106,-2.3,1016.9,0,SE,0.1
2013,3,11,6,114,-2.1,1017,0,NE,0.9
2013,3,11,7,112,1.3,1017.4,0,NNE,1.9
2013,3,11,8,113,3.1,1017.5,0,NE,1.8
2013,3,11,9,120,4.6,1016.8,0,NE,1.8
2013,3,11,10,141,6.7,1016,0,NNE,1.4
2013,3,11,11,140,7.6,1015,0,N,1.3
2013,3,11,12,149,9.7,1013.4,0,NNW,1.6
2013,3,11,13,150,11.3,1012.3,0,S,3.5
2013,3,11,14,114,11.4,1010.9,0,SSE,2.5
2013,3,11,15,106,10.7,1010.3,0,SSW,2.1
2013,3,11,16,113,10.4,1009.5,0,SSW,3.4
2013,3,11,17,132,9.7,1009.7,0,SSW,2.1
2013,3,11,18,149,9.7,1009.8,0,S,2
2013,3,11,19,144,9.6,1010,0,S,1.5
2013,3,11,20,156,9.8,1010.4,0,SSE,1.3
2013,3,11,21,174,9.6,1009.8,0,SSW,1.5
2013,3,11,22,152,9.3,1009.2,0,SSW,1.5
2013,3,11,23,113,8.6,1008,0,SSE,1.1
2013,3,12,0,89,6.3,1007.5,0,WNW,1
2013,3,12,1,106,4.8,1006.8,0,SSE,0
2013,3,12,2,125,5.3,1005.8,0,ESE,0.2
2013,3,12,3,117,6.4,1005.8,0.1,N,2.2
2013,3,12,4,112,4.3,1006.3,0.4,E,0.9
2013,3,12,5,140,4.7,1006.1,0.1,NNE,1.3
2013,3,12,6,146,4.1,1006.2,0.9,W,1
2013,3,12,7,115,3.5,1006.9,0.9,NW,1.4
2013,3,12,8,120,3.1,1006.9,0.4,N,1.5
2013,3,12,9,116,3.4,1006.6,0,NNE,1.3
2013,3,12,10,123,3.7,1006.8,0,N,0.9
2013,3,12,11,130,4.4,1006.5,0,NNE,1.4
2013,3,12,12,132,4.8,1006.8,0,N,1.5
2013,3,12,13,129,5.3,1006.6,0.1,NE,1.8
2013,3,12,14,139,5.6,1007.1,0,NNE,1.6
2013,3,12,15,135,6.4,1007.6,0,N,1.5
2013,3,12,16,133,6.6,1008.1,0,S,0.6
2013,3,12,17,141,6.4,1009.4,0,E,1.4
2013,3,12,18,124,5.8,1011.1,0,E,0.4
2013,3,12,19,137,3.3,1012.5,0,WSW,0.5
2013,3,12,20,160,2.9,1014.1,0,N,0.7
2013,3,12,21,140,3.6,1015.5,0,NNE,0.8
2013,3,12,22,88,1.9,1016.7,0,N,1.2
2013,3,12,23,50,3.8,1017.7,0,NNE,0.9
2013,3,13,0,22,3.4,1018.5,0,NNW,0.9
2013,3,13,1,10,2.7,1018.9,0,NNE,2.1
2013,3,13,2,10,2.8,1019.3,0,N,2.4
2013,3,13,3,7,2.4,1019.7,0,N,1.3
2013,3,13,4,11,0.3,1020.5,0,NW,0.9
2013,3,13,5,3,-0.9,1021,0,NNE,0.9
2013,3,13,6,3,0.8,1022.2,0,NNE,1.6
2013,3,13,7,3,3.7,1023.3,0,NNE,2.9
2013,3,13,8,8,4.8,1024.6,0,NNE,3.3
2013,3,13,9,20,5.5,1025.2,0,ENE,3.9
2013,3,13,10,16,6.4,1025.2,0,ENE,2.6
2013,3,13,11,14,6.6,1024.4,0,NE,3.6
2013,3,13,12,12,7.6,1023.7,0,ENE,3.5
2013,3,13,13,17,8.5,1022.9,0,E,2.3
2013,3,13,14,15,9.5,1022.2,0,NE,1.6
2013,3,13,15,3,9.7,1021.7,0,SW,2
2013,3,13,16,3,9.1,1021.9,0,S,1.8
2013,3,13,17,3,7.1,1022.3,0,SSW,2.7
2013,3,13,18,23,6.1,1022.8,0,SSW,2.5
2013,3,13,19,31,5.5,1023.5,0,S,1.5
2013,3,13,20,37,5,1023.7,0,SSW,2.9
2013,3,13,21,35,4.8,1024,0,SSW,3.2
2013,3,13,22,37,4,1023.8,0,SSW,3.2
2013,3,13,23,42,2.9,1024.1,0,S,2.3
2013,3,14,0,62,2.5,1024.2,0,SSW,2.4
2013,3,14,1,71,1.6,1024.5,0,SSW,1
2013,3,14,2,60,1.3,1023.9,0,SSW,1.5
2013,3,14,3,65,-0.1,1023.8,0,WNW,0.5
2013,3,14,4,49,-0.5,1023.9,0,NE,2.4
2013,3,14,5,72,-0.8,1024.3,0,NNE,1.9
2013,3,14,6,73,-0.8,1024.3,0,NNE,2.2
2013,3,14,7,69,-0.4,1024.6,0,NE,2.1
2013,3,14,8,72,0.5,1024.9,0,NW,2.3
2013,3,14,9,84,2.2,1024.3,0,NW,1.5
2013,3,14,10,101,3.9,1023.4,0,WSW,1.7
2013,3,14,11,111,5.5,1022.3,0,S,1.2
2013,3,14,12,97,7.2,1021.3,0,SW,3.4
2013,3,14,13,104,8.7,1020,0,S,3.3
2013,3,14,14,108,9.9,1019.4,0,SSW,3.8
2013,3,14,15,105,9.3,1018.7,0,S,3.2
2013,3,14,16,105,8.6,1018.1,0,SSW,3.1
2013,3,14,17,106,7.6,1018.3,0,SSW,3.5
2013,3,14,18,115,6.8,1018.4,0,SSW,1.6
2013,3,14,19,119,6.2,1018.4,0,S,1.3
2013,3,14,20,115,5.9,1018.3,0,SSW,1.3
2013,3,14,21,119,3.5,1018.4,0,WNW,0.6
2013,3,14,22,140,1.4,1018.2,0,SE,0
2013,3,14,23,162,1.6,1017.7,0,ENE,1.1
2013,3,15,0,165,2.3,1017.8,0,NE,1.2
2013,3,15,1,180,2.4,1017.4,0,NE,1.8
2013,3,15,2,183,2,1016.6,0,NE,1.1
2013,3,15,3,182,1.5,1016.3,0,NE,1.6
2013,3,15,4,173,1,1016.2,0,NE,0.8
2013,3,15,5,166,0.7,1016.1,0,NE,1.2
2013,3,15,6,163,0.6,1016,0,NE,1.2
2013,3,15,7,137,2.4,1016.3,0,NNE,1
2013,3,15,8,164,4.2,1016.5,0,NE,1.4
2013,3,15,9,172,6.4,1015.9,0,NNE,1.4
2013,3,15,10,173,8.1,1015.1,0,SE,1.6
2013,3,15,11,3,9,1014.2,0,NNW,1.4
2013,3,15,12,110,10.3,1013.2,0,WSW,1.6
2013,3,15,13,227,12,1011.9,0,SE,1.5
2013,3,15,14,236,12.2,1011.4,0,SSW,2.7
2013,3,15,15,256,12.3,1010.9,0,S,2
2013,3,15,16,287,11.5,1010.9,0,SW,3.4
2013,3,15,17,278,10.6,1011.6,0,SW,1.8
2013,3,15,18,269,9.1,1012.2,0,WSW,1
2013,3,15,19,286,7,1012.5,0,SSW,1.1
2013,3,15,20,304,6.3,1013.8,0,ESE,0
2013,3,15,21,312,7.1,1014.4,0,NNW,0.8
2013,3,15,22,316,7.3,1015.3,0,NNE,1
2013,3,15,23,353,7.3,1015.5,0,NNE,1.5
2013,3,16,0,355,6.5,1015.6,0,NE,1.1
2013,3,16,1,328,5.9,1015.9,0,NE,1.7
2013,3,16,2,308,5.9,1016.5,0,NE,1.5
2013,3,16,3,304,5.6,1017,0,WNW,1
2013,3,16,4,314,3.9,1018,0,NNE,1.3
2013,3,16,5,276,5.3,1018.7,0,N,1.6
2013,3,16,6,276,4.8,1019.3,0,NE,1.3
2013,3,16,7,275,6,1020.1,0,N,0.2
2013,3,16,8,278,8.4,1020.7,0,W,1.1
2013,3,16,9,272,10.7,1020.9,0,WSW,1.3
2013,3,16,10,264,12.6,1020.2,0,SW,2.8
2013,3,16,11,270,13.5,1019.9,0,S,1.8
2013,3,16,12,227,14,1018.5,0,SE,2.2
2013,3,16,13,183,14.1,1017.5,0,SSW,2.5
2013,3,16,14,166,14.5,1016.6,0,S,2.1
2013,3,16,15,150,13.6,1015.6,0,S,2
2013,3,16,16,165,12.9,1015.1,0,S,1.9
2013,3,16,17,185,12.4,1014.8,0,S,2.1
2013,3,16,18,216,12,1014.2,0,SSE,2.4
2013,3,16,19,188,10.8,1014.7,0,S,1.2
2013,3,16,20,197,10,1014.6,0,S,1.6
2013,3,16,21,228,9.2,1014.1,0,SSW,2.7
2013,3,16,22,242,8.3,1013.4,0,SSW,1.8
2013,3,16,23,210,7.8,1012.6,0,S,1.5
2013,3,17,0,166,7.2,1012.2,0,SSW,1.5
2013,3,17,1,162,6.5,1011.2,0,WSW,1.3
2013,3,17,2,176,5.6,1009.8,0,WSW,1
2013,3,17,3,217,6.8,1008.8,0,WSW,1.4
2013,3,17,4,183,5.9,1007.9,0,W,0.6
2013,3,17,5,180,5.3,1007.5,0,WNW,0.7
2013,3,17,6,184,4.2,1006,0,WSW,0.6
2013,3,17,7,206,5.6,1005.8,0,NNE,0.6
2013,3,17,8,206,7.6,1005.3,0,WSW,0.6
2013,3,17,9,257,9.3,1004.7,0,WSW,0.7
2013,3,17,10,267,10.6,1003.6,0,SW,0.8
2013,3,17,11,293,12.9,1001.9,0,E,1.4
2013,3,17,12,322,14.4,1000.1,0,SSW,1.2
2013,3,17,13,294,15.1,998.7,0,S,2.1
2013,3,17,14,332,15.9,997.5,0,S,1.5
2013,3,17,15,352,15.5,996.6,0,S,1.8
2013,3,17,16,362,15.3,996.2,0,SW,0.9
2013,3,17,17,356,14.1,996.1,0,SSW,0.9
2013,3,17,18,344,12,996.1,0,N,0.9
2013,3,17,19,357,9.3,996.1,0,NE,0
2013,3,17,20,364,11.5,996.3,0,NNE,1.7
2013,3,17,21,392,10.9,996.2,0,NE,1.9
2013,3,17,22,423,10,995.9,0,NNE,1.5
2013,3,17,23,434,8.7,996,0,NE,1.9
2013,3,18,0,450,9,995.9,0,N,1.8
2013,3,18,1,463,8.8,996.3,0,NNW,1.1
2013,3,18,2,308,10.9,996.2,0,NNE,2.3
2013,3,18,3,36,11.4,996.4,0,NNW,4.7
2013,3,18,4,30,10.5,997.1,0,N,3.6
2013,3,18,5,20,8.6,999.8,0,NNE,4.4
2013,3,18,6,14,7,1001.4,0,NNE,3.4
2013,3,18,7,13,6.2,1002.4,0,NE,6.5
2013,3,18,8,3,6.5,1003.2,0,NNE,4.8
2013,3,18,9,3,8.7,1003.5,0,NNW,6.2
2013,3,18,10,13,9.4,1004.7,0,NE,3.8
2013,3,18,11,6,10.5,1004.2,0,NNW,4.4
2013,3,18,12,8,11.7,1003.6,0,NNW,2.4
2013,3,18,13,12,11.9,1002.1,0,N,3.2
2013,3,18,14,12,12,1000.9,0,NNE,1.9
2013,3,18,15,14,11.5,1000.4,0,S,1.7
2013,3,18,16,15,10.7,1000,0,SSW,3.9
2013,3,18,17,3,9.7,1000.4,0,S,4.4
2013,3,18,18,28,7.2,1001.3,0,S,4.1
2013,3,18,19,78,5.4,1002.9,0,SSW,7
2013,3,18,20,55,4.4,1003.7,0.1,S,4.7
2013,3,18,21,38,3.7,1004,0,SSE,2.9
2013,3,18,22,37,2.9,1004,0,S,2
2013,3,18,23,37,2.6,1004.9,0,S,2.1
2013,3,19,0,31,2.5,1005.5,0,NNE,1.9
2013,3,19,1,30,2,1006,0,NE,2.7
2013,3,19,2,31,1.2,1005.4,0,NE,1.7
2013,3,19,3,33,0.8,1005.8,0,ENE,1.5
2013,3,19,4,31,0.1,1005.4,0,N,1.4
2013,3,19,5,29,0.1,1005.4,0,NNE,1.3
2013,3,19,6,32,0.4,1006.6,0,NNE,1.1
2013,3,19,7,30,1.6,1007,0,NNE,1.7
2013,3,19,8,34,3,1007.4,0,NE,2.7
2013,3,19,9,38,2.6,1008.2,0,NNE,2.9
2013,3,19,10,51,3,1008,0,NNE,1.9
2013,3,19,11,59,3.2,1007.9,0,NNE,1.4
2013,3,19,12,60,3.5,1007.4,0,N,2.1
2013,3,19,13,45,4,1007.3,0,NE,2.9
2013,3,19,14,50,4.8,1007.4,0,NE,2.3
2013,3,19,15,52,4.4,1008.2,0,NE,2.1
2013,3,19,16,45,3.5,1009.3,0.2,NE,1.7
2013,3,19,17,38,2.8,1009.8,0.7,NE,2.5
2013,3,19,18,28,2.3,1011.4,1.4,NE,1.8
2013,3,19,19,30,1.7,1013.2,1.4,NE,2.3
2013,3,19,20,38,0.9,1013.9,1.8,NE,1.6
2013,3,19,21,39,0.9,1014.9,1.5,ESE,1.5
2013,3,19,22,65,0.4,1015.6,1.3,SSE,1.4
2013,3,19,23,65,-0.1,1016.4,0.7,S,1.6
2013,3,20,0,68,-0.3,1017.4,1,SE,0
2013,3,20,1,47,-1.2,1018.1,1.6,SW,1.2
2013,3,20,2,40,-1.2,1018.5,0.9,SSW,0
2013,3,20,3,52,-1.1,1018.7,1.5,NE,1.2
2013,3,20,4,52,-2.1,1019,2.5,E,1.6
2013,3,20,5,31,-4.3,1019.4,0,SSW,1.2
2013,3,20,6,23,-5.7,1019.6,0,N,0
2013,3,20,7,27,-2.3,1020.2,0,SSW,0.1
2013,3,20,8,39,-0.1,1020.7,0,W,1.7
2013,3,20,9,42,1.9,1021,0,SW,2.3
2013,3,20,10,24,2.6,1020.4,0,W,3
2013,3,20,11,40,3.1,1019.4,0,SW,1.7
2013,3,20,12,27,3.8,1018.8,0,WSW,2.4
2013,3,20,13,33,4.7,1017.7,0,SSW,2.1
2013,3,20,14,51,5.4,1016.6,0,SW,3.8
2013,3,20,15,30,5.4,1015.5,0,W,3.2
2013,3,20,16,37,5.4,1015.1,0,SW,4
2013,3,20,17,41,4.4,1014.5,0,SW,3.4
2013,3,20,18,59,3.8,1014.2,0,SW,3.4
2013,3,20,19,78,3.4,1014.2,0,SW,3.9
2013,3,20,20,69,3.1,1013.8,0,SW,2.9
2013,3,20,21,77,2.8,1013.6,0,SW,2.2
2013,3,20,22,81,2.8,1012.7,0,SW,2.2
2013,3,20,23,106,2.2,1011.8,0,WSW,1.9
2013,3,21,0,92,1.9,1011.3,0,SW,2.3
2013,3,21,1,112,1.7,1010.6,0,SW,2.4
2013,3,21,2,97,1,1009.6,0,WNW,1
